,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
727,Itamarandiba,MG,482.73326612903253,517.6075581395348,501.86550387596907,540.1612903225805,602.8682170542636
728,Itamarati,AM,442.2018181818183,416.3276315789474,397.04210526315796,441.42727272727274,422.10526315789474
729,Itambé,BA,465.4646288209606,491.175,474.82008196721335,493.6733624454147,592.0491803278688
730,Itambé,PE,466.62853688028997,482.1087209302325,472.01151162790745,501.8891172914149,585.1627906976744
731,Itanhaém,SP,490.8358372456966,524.1280172413794,515.4962643678159,539.1175273865413,585.0574712643678
732,Itanhém,BA,482.4155963302756,505.2610169491528,486.82372881355934,501.1633027522936,661.5254237288135
733,Itaobim,MG,477.64015594541905,502.1968692449355,484.701473296501,517.986159844055,586.0773480662983
734,Itaocara,RJ,494.34566037735857,519.8341681574236,500.4044722719138,533.5932075471696,654.9910554561717
735,Itapaci,GO,462.44265734265724,484.74784366576824,476.79002695417745,496.8647552447555,576.6037735849056
736,Itapajé,CE,459.9932367149766,489.45256410256417,476.0539377289382,508.40695652173974,567.2893772893773
737,Itaparica,BA,477.20621761658015,500.940291262136,485.0592233009706,505.1093264248704,591.9417475728155
738,Itapecerica da Serra,SP,485.79080962800896,525.8176037483255,511.9364792503341,531.6455871626547,594.2971887550201
739,Itapecuru Mirim,MA,447.93579454253586,466.4194570135747,450.4039215686272,471.818298555377,523.0165912518854
740,Itapema,SC,504.59800569800535,532.2734799482541,515.9930142302716,553.6475783475776,602.8201811125485
741,Itapemirim,ES,477.4408163265304,494.2291553133511,480.48474114441433,510.5830903790089,575.9128065395096
742,Itaperuna,RJ,498.42900158478653,525.9831334332837,513.1000000000001,553.1036450079246,637.0614692653674
743,Itapetinga,BA,470.2685439560454,491.7632057105764,479.15762491888415,502.61037087912126,598.9746917585983
744,Itapetininga,SP,506.630014749262,538.7541780821916,522.6537671232879,561.3600294985245,601.4794520547945
745,Itapeva,SP,487.6075770925111,516.7846217105267,505.5851973684217,536.1938325991189,574.2105263157895
746,Itapevi,SP,480.39894894894934,519.2649011299438,505.86878531073444,522.0322072072067,570.9745762711865
747,Itapipoca,CE,455.5454311926605,476.74487994350255,467.1911370056499,494.2265688073399,542.0550847457627
748,Itapira,SP,529.25412371134,553.2531604538088,533.7649918962717,586.6664948453608,651.1183144246353
749,Itapiranga,SC,495.6102362204723,517.8244949494953,491.6492424242428,541.2181102362206,609.0909090909091
750,Itaporanga,PB,458.5810492505358,479.1647422680415,462.94835051546363,499.937366167024,603.1134020618557
751,Itaporanga d'Ajuda,SE,457.68453865336636,474.5983253588517,454.82248803827764,484.52194513715716,591.1961722488038
752,Itapororoca,PB,452.40625000000057,480.3006134969323,460.1987730061351,485.0440624999998,570.5521472392638
753,Itaporã,MS,469.90201342281904,503.6619354838712,487.5135483870968,508.3100671140937,581.8064516129032
754,Itapuranga,GO,471.8599229287091,498.47063197026034,487.2998141263938,514.3105973025047,627.2862453531599
755,Itaquaquecetuba,SP,477.08790644609286,522.3047033671826,505.3023516835925,519.0717056474616,580.4596472474612
756,Itaqui,RS,474.71599999999967,506.42867830423944,491.11995012468844,508.2898666666662,556.4588528678304
757,Itaquiraí,MS,475.54539877300647,500.197752808989,486.22134831460653,512.607975460123,568.4269662921348
758,Itararé,SP,484.185818181818,524.0279513888885,511.3083333333333,529.6456363636365,593.1597222222222
759,Itarema,CE,449.6961722488043,475.64120300751847,461.35984962406013,496.2912280701756,533.3834586466165
760,Itatiba,SP,523.5170921198666,549.0350580781417,533.5388595564938,583.8420643729189,638.2682154171066
761,Itatira,CE,445.6326086956521,458.418624641834,443.3489971346703,471.3596273291927,493.2951289398281
762,Itaí,SP,500.8055350553504,523.9496598639458,515.459523809524,558.7199261992621,587.2108843537414
763,Itaúna,MG,525.0666305525456,554.3995880535527,536.7559217301751,596.4237269772482,676.9104016477858
764,Itinga do Maranhão,MA,451.92088888888884,473.77364016736414,459.90836820083723,480.428888888889,571.2133891213389
765,Itiquira,MT,478.5421568627452,508.6936363636364,490.59363636363616,504.91078431372534,555.0909090909091
766,Itu,SP,514.7679227941173,548.682058047494,534.603430079156,572.6711397058825,640.6684256816183
767,Ituberá,BA,457.15049180327907,480.34984802431615,464.4623100303953,480.78983606557404,565.4103343465046
768,Ituiutaba,MG,486.321078976641,510.4137532808403,492.3804724409452,523.8405450500558,577.8582677165355
769,Itumbiara,GO,487.9310434219059,510.01917725347835,495.9878402903818,529.529876863253,603.6055656382335
770,Itupeva,SP,514.0957142857143,544.6418478260869,527.4437499999998,575.5722857142863,617.6086956521739
771,Itupiranga,PA,448.5793220338984,469.6526479750774,445.75202492211844,472.20474576271164,559.8130841121496
772,Ituporanga,SC,491.31075697211156,509.7116981132078,482.81943396226427,523.2872509960163,613.3207547169811
